"Comment","Designator","Datasheet","Footprint","JLCPCB Footprint","LCSC Part Number"
"MountingHole","H1","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"MountingHole","H2","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"MountingHole","H3","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"MountingHole","H4","~","MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom","",""
"Heatsink","HS1","~","","",""
"Conn_01x01_Socket","J1","~","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","",""
"Screw_Terminal_01x02","J2","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2301061230_DORABO-DB127V-5-08-2P-GN-S_C3018698.pdf","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","","C3018698"
"Conn_01x01_Socket","J3","~","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","",""
"100k","R1","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705871070658560","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1206","C17900"
"100k","R2","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705871070658560","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1206","C17900"
"100k","R3","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705871070658560","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1206","C17900"
"100k","R4","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579705871070658560","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1206","C17900"
